"Origin","Destination","Speed","HOUR","DATE"
2,3,0.0333333333333333,7,"2021-10-20"
2,4,0.1,7,"2021-10-20"
2,5,0.0833333333333333,7,"2021-10-20"
2,6,0.166666666666667,7,"2021-10-20"
2,7,0.216666666666667,7,"2021-10-20"
2,8,0.2,7,"2021-10-20"
2,9,0.116666666666667,7,"2021-10-20"
2,10,0.05,7,"2021-10-20"
3,4,0.183333333333333,7,"2021-10-20"
3,5,0.116666666666667,7,"2021-10-20"
3,6,0.2,7,"2021-10-20"
3,7,0.183333333333333,7,"2021-10-20"
3,8,0.183333333333333,7,"2021-10-20"
3,9,0.05,7,"2021-10-20"
3,10,0.1,7,"2021-10-20"
4,5,0.233333333333333,7,"2021-10-20"
4,6,0.283333333333333,7,"2021-10-20"
4,7,0.25,7,"2021-10-20"
4,8,0.316666666666667,7,"2021-10-20"
4,9,0.283333333333333,7,"2021-10-20"
4,10,0.283333333333333,7,"2021-10-20"
5,6,0.366666666666667,7,"2021-10-20"
5,7,0.516666666666667,7,"2021-10-20"
5,8,0.316666666666667,7,"2021-10-20"
5,9,0.283333333333333,7,"2021-10-20"
5,10,0.133333333333333,7,"2021-10-20"
6,7,0.716666666666667,7,"2021-10-20"
6,8,0.616666666666667,7,"2021-10-20"
6,9,0.5,7,"2021-10-20"
6,10,0.433333333333333,7,"2021-10-20"
7,8,1.1,7,"2021-10-20"
7,9,0.783333333333333,7,"2021-10-20"
7,10,0.75,7,"2021-10-20"
8,9,1.43333333333333,7,"2021-10-20"
8,10,0.833333333333333,7,"2021-10-20"
9,10,2.03333333333333,7,"2021-10-20"
1,2,0.0166666666666667,8,"2021-10-20"
1,3,0.0666666666666667,8,"2021-10-20"
1,4,0.0666666666666667,8,"2021-10-20"
1,5,0.0666666666666667,8,"2021-10-20"
1,6,0.0666666666666667,8,"2021-10-20"
1,7,0.166666666666667,8,"2021-10-20"
1,8,0.1,8,"2021-10-20"
1,9,0.0666666666666667,8,"2021-10-20"
1,10,0.0666666666666667,8,"2021-10-20"
2,3,0.1,8,"2021-10-20"
2,4,0.0666666666666667,8,"2021-10-20"
2,5,0.0166666666666667,8,"2021-10-20"
2,6,0.05,8,"2021-10-20"
2,7,0.183333333333333,8,"2021-10-20"
2,8,0.166666666666667,8,"2021-10-20"
2,9,0.0833333333333333,8,"2021-10-20"
2,10,0.1,8,"2021-10-20"
3,4,0.1,8,"2021-10-20"
3,5,0.0666666666666667,8,"2021-10-20"
3,6,0.15,8,"2021-10-20"
3,7,0.15,8,"2021-10-20"
3,8,0.216666666666667,8,"2021-10-20"
3,9,0.15,8,"2021-10-20"
3,10,0.116666666666667,8,"2021-10-20"
4,5,0.15,8,"2021-10-20"
4,6,0.266666666666667,8,"2021-10-20"
4,7,0.25,8,"2021-10-20"
4,8,0.166666666666667,8,"2021-10-20"
4,9,0.183333333333333,8,"2021-10-20"
4,10,0.133333333333333,8,"2021-10-20"
5,6,0.333333333333333,8,"2021-10-20"
5,7,0.3,8,"2021-10-20"
5,8,0.433333333333333,8,"2021-10-20"
5,9,0.233333333333333,8,"2021-10-20"
5,10,0.133333333333333,8,"2021-10-20"
6,7,0.816666666666667,8,"2021-10-20"
6,8,0.466666666666667,8,"2021-10-20"
6,9,0.433333333333333,8,"2021-10-20"
6,10,0.3,8,"2021-10-20"
7,8,0.816666666666667,8,"2021-10-20"
7,9,0.716666666666667,8,"2021-10-20"
7,10,0.5,8,"2021-10-20"
8,9,1.23333333333333,8,"2021-10-20"
8,10,0.716666666666667,8,"2021-10-20"
9,10,1.48333333333333,8,"2021-10-20"
1,2,0.0166666666666667,9,"2021-10-20"
1,3,0.0166666666666667,9,"2021-10-20"
1,4,0.0166666666666667,9,"2021-10-20"
1,5,0.0333333333333333,9,"2021-10-20"
1,7,0.0333333333333333,9,"2021-10-20"
1,8,0.05,9,"2021-10-20"
1,9,0.05,9,"2021-10-20"
2,3,0.0333333333333333,9,"2021-10-20"
2,4,0.0166666666666667,9,"2021-10-20"
2,5,0.0333333333333333,9,"2021-10-20"
2,6,0.116666666666667,9,"2021-10-20"
2,7,0.0166666666666667,9,"2021-10-20"
2,8,0.0666666666666667,9,"2021-10-20"
2,9,0.0166666666666667,9,"2021-10-20"
2,10,0.0333333333333333,9,"2021-10-20"
3,4,0.0333333333333333,9,"2021-10-20"
3,5,0.133333333333333,9,"2021-10-20"
3,6,0.0666666666666667,9,"2021-10-20"
3,7,0.1,9,"2021-10-20"
3,8,0.0666666666666667,9,"2021-10-20"
3,9,0.05,9,"2021-10-20"
3,10,0.0166666666666667,9,"2021-10-20"
4,5,0.1,9,"2021-10-20"
4,6,0.0833333333333333,9,"2021-10-20"
4,7,0.05,9,"2021-10-20"
4,8,0.133333333333333,9,"2021-10-20"
4,9,0.0833333333333333,9,"2021-10-20"
4,10,0.116666666666667,9,"2021-10-20"
5,6,0.183333333333333,9,"2021-10-20"
5,7,0.0833333333333333,9,"2021-10-20"
5,8,0.116666666666667,9,"2021-10-20"
5,9,0.133333333333333,9,"2021-10-20"
5,10,0.0833333333333333,9,"2021-10-20"
6,7,0.266666666666667,9,"2021-10-20"
6,8,0.333333333333333,9,"2021-10-20"
6,9,0.2,9,"2021-10-20"
6,10,0.2,9,"2021-10-20"
7,8,0.45,9,"2021-10-20"
7,9,0.333333333333333,9,"2021-10-20"
7,10,0.216666666666667,9,"2021-10-20"
8,9,0.683333333333333,9,"2021-10-20"
8,10,0.366666666666667,9,"2021-10-20"
9,10,0.9,9,"2021-10-20"
1,3,0.0166666666666667,10,"2021-10-20"
1,4,0.0333333333333333,10,"2021-10-20"
1,5,0.0333333333333333,10,"2021-10-20"
1,6,0.0166666666666667,10,"2021-10-20"
1,7,0.0833333333333333,10,"2021-10-20"
1,8,0.1,10,"2021-10-20"
1,9,0.0333333333333333,10,"2021-10-20"
2,4,0.0333333333333333,10,"2021-10-20"
2,5,0.0333333333333333,10,"2021-10-20"
2,6,0.0666666666666667,10,"2021-10-20"
2,7,0.0666666666666667,10,"2021-10-20"
2,8,0.05,10,"2021-10-20"
2,9,0.133333333333333,10,"2021-10-20"
2,10,0.0666666666666667,10,"2021-10-20"
3,4,0.0166666666666667,10,"2021-10-20"
3,5,0.0666666666666667,10,"2021-10-20"
3,6,0.0833333333333333,10,"2021-10-20"
3,7,0.1,10,"2021-10-20"
3,8,0.05,10,"2021-10-20"
3,9,0.166666666666667,10,"2021-10-20"
3,10,0.0833333333333333,10,"2021-10-20"
4,5,0.0833333333333333,10,"2021-10-20"
4,6,0.15,10,"2021-10-20"
4,7,0.166666666666667,10,"2021-10-20"
4,8,0.116666666666667,10,"2021-10-20"
4,9,0.1,10,"2021-10-20"
4,10,0.0833333333333333,10,"2021-10-20"
5,6,0.116666666666667,10,"2021-10-20"
5,7,0.183333333333333,10,"2021-10-20"
5,8,0.216666666666667,10,"2021-10-20"
5,9,0.166666666666667,10,"2021-10-20"
5,10,0.0666666666666667,10,"2021-10-20"
6,7,0.283333333333333,10,"2021-10-20"
6,8,0.183333333333333,10,"2021-10-20"
6,9,0.25,10,"2021-10-20"
6,10,0.166666666666667,10,"2021-10-20"
7,8,0.383333333333333,10,"2021-10-20"
7,9,0.35,10,"2021-10-20"
7,10,0.3,10,"2021-10-20"
8,9,0.716666666666667,10,"2021-10-20"
8,10,0.383333333333333,10,"2021-10-20"
9,10,0.816666666666667,10,"2021-10-20"
1,2,0.0666666666666667,11,"2021-10-20"
1,4,0.0333333333333333,11,"2021-10-20"
1,5,0.0333333333333333,11,"2021-10-20"
1,6,0.0333333333333333,11,"2021-10-20"
1,7,0.0166666666666667,11,"2021-10-20"
1,8,0.0666666666666667,11,"2021-10-20"
1,9,0.05,11,"2021-10-20"
1,10,0.0333333333333333,11,"2021-10-20"
2,3,0.0833333333333333,11,"2021-10-20"
2,4,0.0166666666666667,11,"2021-10-20"
2,5,0.0166666666666667,11,"2021-10-20"
2,6,0.0833333333333333,11,"2021-10-20"
2,7,0.133333333333333,11,"2021-10-20"
2,8,0.116666666666667,11,"2021-10-20"
2,9,0.0666666666666667,11,"2021-10-20"
2,10,0.0333333333333333,11,"2021-10-20"
3,4,0.133333333333333,11,"2021-10-20"
3,5,0.0666666666666667,11,"2021-10-20"
3,6,0.0666666666666667,11,"2021-10-20"
3,7,0.05,11,"2021-10-20"
3,8,0.1,11,"2021-10-20"
3,9,0.116666666666667,11,"2021-10-20"
3,10,0.1,11,"2021-10-20"
4,5,0.0666666666666667,11,"2021-10-20"
4,6,0.166666666666667,11,"2021-10-20"
4,7,0.0833333333333333,11,"2021-10-20"
4,8,0.133333333333333,11,"2021-10-20"
4,9,0.166666666666667,11,"2021-10-20"
4,10,0.116666666666667,11,"2021-10-20"
5,6,0.116666666666667,11,"2021-10-20"
5,7,0.25,11,"2021-10-20"
5,8,0.15,11,"2021-10-20"
5,9,0.15,11,"2021-10-20"
5,10,0.15,11,"2021-10-20"
6,7,0.4,11,"2021-10-20"
6,8,0.383333333333333,11,"2021-10-20"
6,9,0.35,11,"2021-10-20"
6,10,0.15,11,"2021-10-20"
7,8,0.4,11,"2021-10-20"
7,9,0.616666666666667,11,"2021-10-20"
7,10,0.466666666666667,11,"2021-10-20"
8,9,0.9,11,"2021-10-20"
8,10,0.55,11,"2021-10-20"
9,10,0.816666666666667,11,"2021-10-20"
1,2,0.05,12,"2021-10-20"
1,3,0.05,12,"2021-10-20"
1,4,0.0166666666666667,12,"2021-10-20"
1,5,0.0333333333333333,12,"2021-10-20"
1,8,0.0833333333333333,12,"2021-10-20"
1,9,0.05,12,"2021-10-20"
1,10,0.0333333333333333,12,"2021-10-20"
2,3,0.0666666666666667,12,"2021-10-20"
2,4,0.0666666666666667,12,"2021-10-20"
2,5,0.0333333333333333,12,"2021-10-20"
2,6,0.1,12,"2021-10-20"
2,7,0.1,12,"2021-10-20"
2,8,0.05,12,"2021-10-20"
2,9,0.0833333333333333,12,"2021-10-20"
2,10,0.0833333333333333,12,"2021-10-20"
3,4,0.0333333333333333,12,"2021-10-20"
3,5,0.0166666666666667,12,"2021-10-20"
3,6,0.05,12,"2021-10-20"
3,7,0.0666666666666667,12,"2021-10-20"
3,8,0.0666666666666667,12,"2021-10-20"
3,9,0.116666666666667,12,"2021-10-20"
3,10,0.0833333333333333,12,"2021-10-20"
4,5,0.1,12,"2021-10-20"
4,6,0.15,12,"2021-10-20"
4,7,0.0666666666666667,12,"2021-10-20"
4,8,0.166666666666667,12,"2021-10-20"
4,9,0.0833333333333333,12,"2021-10-20"
4,10,0.15,12,"2021-10-20"
5,6,0.283333333333333,12,"2021-10-20"
5,7,0.233333333333333,12,"2021-10-20"
5,8,0.1,12,"2021-10-20"
5,9,0.2,12,"2021-10-20"
5,10,0.1,12,"2021-10-20"
6,7,0.333333333333333,12,"2021-10-20"
6,8,0.383333333333333,12,"2021-10-20"
6,9,0.3,12,"2021-10-20"
6,10,0.183333333333333,12,"2021-10-20"
7,8,0.5,12,"2021-10-20"
7,9,0.4,12,"2021-10-20"
7,10,0.233333333333333,12,"2021-10-20"
8,9,0.55,12,"2021-10-20"
8,10,0.433333333333333,12,"2021-10-20"
9,10,1.05,12,"2021-10-20"
1,3,0.0333333333333333,13,"2021-10-20"
1,4,0.0166666666666667,13,"2021-10-20"
1,5,0.0166666666666667,13,"2021-10-20"
1,6,0.05,13,"2021-10-20"
1,7,0.05,13,"2021-10-20"
1,8,0.05,13,"2021-10-20"
1,9,0.0833333333333333,13,"2021-10-20"
1,10,0.0333333333333333,13,"2021-10-20"
2,3,0.0333333333333333,13,"2021-10-20"
2,4,0.0666666666666667,13,"2021-10-20"
2,5,0.0166666666666667,13,"2021-10-20"
2,6,0.0333333333333333,13,"2021-10-20"
2,7,0.183333333333333,13,"2021-10-20"
2,8,0.0166666666666667,13,"2021-10-20"
2,9,0.0833333333333333,13,"2021-10-20"
2,10,0.0333333333333333,13,"2021-10-20"
3,4,0.0333333333333333,13,"2021-10-20"
3,5,0.0666666666666667,13,"2021-10-20"
3,6,0.05,13,"2021-10-20"
3,7,0.0833333333333333,13,"2021-10-20"
3,8,0.05,13,"2021-10-20"
3,9,0.0833333333333333,13,"2021-10-20"
4,5,0.0166666666666667,13,"2021-10-20"
4,6,0.1,13,"2021-10-20"
4,7,0.183333333333333,13,"2021-10-20"
4,8,0.15,13,"2021-10-20"
4,9,0.0333333333333333,13,"2021-10-20"
4,10,0.133333333333333,13,"2021-10-20"
5,6,0.216666666666667,13,"2021-10-20"
5,7,0.15,13,"2021-10-20"
5,8,0.166666666666667,13,"2021-10-20"
5,9,0.116666666666667,13,"2021-10-20"
5,10,0.183333333333333,13,"2021-10-20"
6,7,0.483333333333333,13,"2021-10-20"
6,8,0.366666666666667,13,"2021-10-20"
6,9,0.333333333333333,13,"2021-10-20"
6,10,0.233333333333333,13,"2021-10-20"
7,8,0.466666666666667,13,"2021-10-20"
7,9,0.483333333333333,13,"2021-10-20"
7,10,0.266666666666667,13,"2021-10-20"
8,9,0.433333333333333,13,"2021-10-20"
8,10,0.4,13,"2021-10-20"
9,10,0.766666666666667,13,"2021-10-20"
1,3,0.05,14,"2021-10-20"
1,5,0.0333333333333333,14,"2021-10-20"
1,6,0.05,14,"2021-10-20"
1,7,0.1,14,"2021-10-20"
1,8,0.116666666666667,14,"2021-10-20"
1,9,0.05,14,"2021-10-20"
1,10,0.05,14,"2021-10-20"
2,4,0.1,14,"2021-10-20"
2,5,0.0333333333333333,14,"2021-10-20"
2,6,0.0166666666666667,14,"2021-10-20"
2,7,0.1,14,"2021-10-20"
2,8,0.0333333333333333,14,"2021-10-20"
2,9,0.0833333333333333,14,"2021-10-20"
2,10,0.0666666666666667,14,"2021-10-20"
3,4,0.0833333333333333,14,"2021-10-20"
